period,entry_time,entry_bar,symbol,direction,entry_price,tp,sl,notional,score,consensus,exit_time,exit_price,exit_reason,net_pnl,ret_pct,capital_after,split
IN_SAMPLE,2026-07-07 21:55:00,25653,BTCUSDT,-1,63536.5,62964.6715,63854.1825,4829.37446269691,-1.3074435334393957,6,2026-07-07 22:35:00,63854.1825,STOP_LOSS,-28.493309329911966,-0.5000000000000041,4800.881153366998,IS_70
IN_SAMPLE,2026-07-11 13:40:00,26706,SOLUSDT,1,78.02,78.72218,77.62989999999999,4800.881153366998,1.2623106575243828,6,2026-07-11 16:40:00,77.93,TIME_EXPIRE,-9.858851276981568,-0.1153550371699426,4791.022302090016,IS_70
IN_SAMPLE,2026-07-19 09:25:00,28959,BTCUSDT,-1,64795.7,64212.5387,65119.678499999995,4791.022302090016,-1.257894701531134,6,2026-07-19 12:25:00,64685.3,TIME_EXPIRE,3.851104050872655,0.17038167656186165,4794.873406140889,IS_70
IN_SAMPLE,2026-07-21 09:55:00,29541,ETHUSDT,1,1916.45,1933.69805,1906.8677500000001,4794.873406140889,1.2549623702487895,6,2026-07-21 12:45:00,1933.69805,TAKE_PROFIT,38.838474589741004,0.8999999999999959,4833.71188073063,IS_70
IN_SAMPLE,2026-07-22 17:25:00,29919,BTCUSDT,-1,65933.8,65340.395800000006,66263.469,4833.71188073063,-1.312107616271238,6,2026-07-22 20:25:00,65590.6,TIME_EXPIRE,20.81019786976016,0.52052209943913,4854.52207860039,IS_70
IN_SAMPLE,2026-07-22 20:40:00,29958,BTCUSDT,-1,65864.8,65272.016800000005,66194.124,4854.52207860039,-1.2602575457457244,6,2026-07-22 23:30:00,66194.124,STOP_LOSS,-28.6416802637418,-0.4999999999999897,4825.880398336649,IS_70
OUT_OF_SAMPLE,2026-07-26 10:55:00,30993,SOLUSDT,1,75.0,75.675,74.625,5000.0,1.2805635447674526,6,2026-07-26 13:55:00,75.09,TIME_EXPIRE,1.5000000000002274,0.12000000000000455,5001.5,OOS_30
OUT_OF_SAMPLE,2026-07-28 16:10:00,31632,SOLUSDT,1,73.4,74.06060000000001,73.033,5001.5,1.2740178162716136,6,2026-07-28 18:00:00,73.033,STOP_LOSS,-29.508850000000297,-0.500000000000006,4971.99115,OOS_30
OUT_OF_SAMPLE,2026-07-31 21:55:00,32565,BTCUSDT,-1,62663.8,62099.825800000006,62977.119000000006,4971.99115,-1.2514398125324022,6,2026-08-01 00:25:00,62977.119000000006,STOP_LOSS,-29.334747785000246,-0.500000000000005,4942.656402215,OOS_30
OUT_OF_SAMPLE,2026-08-01 10:55:00,32721,ETHUSDT,1,1869.0,1885.821,1859.655,4942.656402215,1.274236918158239,6,2026-08-01 13:55:00,1869.47,TIME_EXPIRE,-3.2054541600453,0.025147137506689527,4939.450948054954,OOS_30
OUT_OF_SAMPLE,2026-08-02 08:25:00,32979,BTCUSDT,-1,62957.9,62391.278900000005,63272.6895,4939.450948054954,-1.2739155592730655,6,2026-08-02 09:05:00,63272.6895,STOP_LOSS,-29.142760593524148,-0.49999999999999833,4910.30818746143,OOS_30
OUT_OF_SAMPLE,2026-08-05 12:40:00,33894,SOLUSDT,1,74.14,74.80726,73.7693,4910.30818746143,1.2749259484088915,6,2026-08-05 14:20:00,73.7693,STOP_LOSS,-28.970818306022394,-0.49999999999999917,4881.337369155408,OOS_30
OUT_OF_SAMPLE,2026-08-08 10:40:00,34734,SOLUSDT,1,74.45,75.12005,74.07775000000001,4881.337369155408,1.333441733512863,6,2026-08-08 11:00:00,75.12005,TAKE_PROFIT,39.53883269015902,0.9000000000000045,4920.876201845567,OOS_30
OUT_OF_SAMPLE,2026-08-08 21:55:00,34869,SOLUSDT,1,76.48,77.16832000000001,76.0976,4920.876201845567,1.3171918489633105,6,2026-08-09 00:55:00,76.37,TIME_EXPIRE,-11.506408641846805,-0.14382845188284443,4909.36979320372,OOS_30
OUT_OF_SAMPLE,2026-08-14 15:55:00,36525,BTCUSDT,-1,62904.9,62338.755900000004,63219.4245,4909.36979320372,-1.2590180472694086,6,2026-08-14 18:55:00,62837.4,TIME_EXPIRE,0.8495584084419567,0.1073048363482018,4910.219351612162,OOS_30
OUT_OF_SAMPLE,2026-08-15 20:55:00,36873,SOLUSDT,1,75.53,76.20977,75.15235,4910.219351612162,1.298090355528676,6,2026-08-15 23:55:00,75.45,TIME_EXPIRE,-9.620012299662447,-0.10591817820733258,4900.5993393125,OOS_30
OUT_OF_SAMPLE,2026-08-16 10:10:00,37032,SOLUSDT,1,75.58,76.26022,75.2021,4900.5993393125,1.3016633127725203,6,2026-08-16 13:10:00,75.29,TIME_EXPIRE,-23.21410924397064,-0.38369939137336867,4877.385230068529,OOS_30
OUT_OF_SAMPLE,2026-08-18 14:10:00,37656,SOLUSDT,1,76.14,76.82526,75.7593,4877.385230068529,1.2996096226189333,6,2026-08-18 17:10:00,75.88,TIME_EXPIRE,-21.044757815780386,-0.3414762280010574,4856.340472252749,OOS_30
OUT_OF_SAMPLE,2026-08-21 12:40:00,38502,SOLUSDT,1,90.14,90.95126,89.6893,4856.340472252749,1.262853632779749,6,2026-08-21 13:00:00,90.95126,TAKE_PROFIT,39.336357825247504,0.9000000000000048,4895.676830077997,OOS_30
OUT_OF_SAMPLE,2026-08-21 19:55:00,38589,ETHUSDT,1,2387.75,2409.23975,2375.81125,4895.676830077997,1.3250735176466806,6,2026-08-21 20:30:00,2375.81125,STOP_LOSS,-28.88449329745977,-0.4999999999999916,4866.792336780537,OOS_30
OUT_OF_SAMPLE,2026-08-23 21:10:00,39180,BTCUSDT,-1,77538.1,76840.2571,77925.7905,4866.792336780537,-1.2533358050676182,6,2026-08-23 21:40:00,76840.2571,TAKE_PROFIT,39.42101792792255,0.9000000000000041,4906.2133547084595,OOS_30
OUT_OF_SAMPLE,2026-08-24 12:25:00,39363,ETHUSDT,1,2449.9,2471.9491000000003,2437.6505,4906.2133547084595,1.253812187997222,6,2026-08-24 12:35:00,2437.6505,STOP_LOSS,-28.946658792779708,-0.49999999999999584,4877.2666959156795,OOS_30
OUT_OF_SAMPLE,2026-08-24 18:40:00,39438,BTCUSDT,-1,78559.5,77852.4645,78952.2975,4877.2666959156795,-1.3286786954448837,6,2026-08-24 19:45:00,78952.2975,STOP_LOSS,-28.775873505902545,-0.5000000000000007,4848.490822409777,OOS_30
OUT_OF_SAMPLE,2026-08-28 12:40:00,40518,BTCUSDT,-1,79786.3,79068.2233,80185.23150000001,4848.490822409777,-1.2910820303759678,6,2026-08-28 15:40:00,79682.5,TIME_EXPIRE,1.9441247230729966,0.13009752300833965,4850.4349471328505,OOS_30
OUT_OF_SAMPLE,2026-08-29 21:10:00,40908,SOLUSDT,1,103.95,104.88555000000001,103.43025,4850.4349471328505,1.3022363785276834,6,2026-08-29 21:40:00,104.88555000000001,TAKE_PROFIT,39.28852307177638,0.900000000000006,4889.723470204627,OOS_30
OUT_OF_SAMPLE,2026-08-30 20:25:00,41187,SOLUSDT,1,106.31,107.26679,105.77845,4889.723470204628,1.2753756409651826,6,2026-08-30 20:45:00,107.26679,TAKE_PROFIT,39.6067601086574,0.8999999999999982,4929.330230313284,OOS_30
OUT_OF_SAMPLE,2026-09-01 16:25:00,41715,ETHUSDT,1,2450.27,2472.32243,2438.01865,4929.330230313284,1.2565308271711069,6,2026-09-01 19:25:00,2454.28,TIME_EXPIRE,3.6307195690558958,0.16365543389096787,4932.96094988234,OOS_30
OUT_OF_SAMPLE,2026-09-02 09:40:00,41922,SOLUSDT,1,99.81,100.70829,99.31095,4932.96094988234,1.3147515838195765,6,2026-09-02 12:40:00,100.17,TIME_EXPIRE,13.352800248378509,0.3606853020739399,4946.313750130718,OOS_30
OUT_OF_SAMPLE,2026-09-05 15:40:00,42858,SOLUSDT,1,102.38,103.30142,101.8681,4946.313750130718,1.2685231400678743,6,2026-09-05 18:40:00,102.21,TIME_EXPIRE,-12.664940213779794,-0.16604805626099015,4933.648809916938,OOS_30
OUT_OF_SAMPLE,2026-09-06 10:25:00,43083,SOLUSDT,1,104.97,105.91473,104.44515,4933.648809916938,1.2600385079971057,6,2026-09-06 10:35:00,105.91473,TAKE_PROFIT,39.96255536032753,0.9000000000000067,4973.611365277266,OOS_30
OUT_OF_SAMPLE,2026-09-07 09:25:00,43359,BTCUSDT,-1,79998.4,79278.4144,80398.39199999999,4973.611365277266,-1.250625421737112,6,2026-09-07 09:40:00,80398.39199999999,STOP_LOSS,-29.34430705513577,-0.499999999999998,4944.26705822213,OOS_30
OUT_OF_SAMPLE,2026-09-07 19:55:00,43485,BTCUSDT,-1,79567.4,78851.2934,79965.237,4944.26705822213,-1.2911918052431808,6,2026-09-07 22:15:00,78851.2934,TAKE_PROFIT,40.048563171599206,0.899999999999999,4984.315621393729,OOS_30
OUT_OF_SAMPLE,2026-09-08 21:10:00,43788,BTCUSDT,-1,78123.4,77420.2894,78514.01699999999,4984.315621393729,-1.2771837904957348,6,2026-09-08 21:45:00,78514.01699999999,STOP_LOSS,-29.4074621662229,-0.49999999999999795,4954.908159227506,OOS_30
WF1_TRAIN,2026-04-10 16:10:00,240,BTCUSDT,-1,71664.6,71019.6186,72022.92300000001,5000.0,-1.2848071782411197,6,2026-04-10 18:05:00,72022.92300000001,STOP_LOSS,-29.500000000000274,-0.5000000000000054,4970.5,WF1_TRAIN
WF1_TRAIN,2026-04-10 18:25:00,267,ETHUSDT,1,2216.28,2236.22652,2205.1986,4970.5,1.3017184130306156,6,2026-04-10 21:15:00,2236.22652,TAKE_PROFIT,40.26104999999992,0.8999999999999984,5010.76105,WF1_TRAIN
WF1_TRAIN,2026-04-19 18:40:00,2862,SOLUSDT,1,85.45,86.21905000000001,85.02275,5010.76105,1.252555345910074,6,2026-04-19 20:05:00,86.21905000000001,TAKE_PROFIT,40.587164505000416,0.9000000000000082,5051.348214505,WF1_TRAIN
WF1_TRAIN,2026-04-26 09:25:00,4767,SOLUSDT,1,86.23,87.00607000000001,85.79885,5051.348214505,1.3197163039813251,6,2026-04-26 10:35:00,85.79885,STOP_LOSS,-29.80295446557964,-0.5000000000000027,5021.545260039421,WF1_TRAIN
WF1_TRAIN,2026-04-28 19:40:00,5466,BTCUSDT,-1,76280.0,75593.48,76661.4,5021.545260039421,-1.256176647273437,6,2026-04-28 22:40:00,75903.1,TIME_EXPIRE,20.292098627642925,0.49410068169899607,5041.837358667064,WF1_TRAIN
WF1_TRAIN,2026-04-30 08:10:00,5904,SOLUSDT,1,83.91,84.66519,83.49045,5041.837358667064,1.277247717866838,6,2026-04-30 09:25:00,83.49045,STOP_LOSS,-29.74684041613574,-0.5000000000000012,5012.090518250929,WF1_TRAIN
WF1_TRAIN,2026-05-01 21:10:00,6348,SOLUSDT,-1,84.41,83.65030999999999,84.83205,5012.090518250929,-1.2694361363129498,6,2026-05-02 00:10:00,84.18,TIME_EXPIRE,9.146040926627858,0.2724795640326854,5021.236559177557,WF1_TRAIN
WF1_TRAIN,2026-05-02 09:10:00,6492,SOLUSDT,1,83.92,84.67528,83.5004,5021.236559177557,1.2774147586647593,6,2026-05-02 11:45:00,83.5004,STOP_LOSS,-29.625295699147742,-0.5000000000000031,4991.6112634784095,WF1_TRAIN
WF1_TRAIN,2026-05-06 16:55:00,7737,BTCUSDT,-1,81959.3,81221.6663,82369.0965,4991.6112634784095,-1.2558391973008278,6,2026-05-06 18:00:00,82369.0965,STOP_LOSS,-29.450506454522415,-0.499999999999996,4962.160757023887,WF1_TRAIN
WF1_TRAIN,2026-05-07 14:25:00,7995,SOLUSDT,1,89.56,90.36604,89.1122,4962.160757023887,1.3064547764083139,6,2026-05-07 14:45:00,90.36604,TAKE_PROFIT,40.193502131893254,0.8999999999999955,5002.35425915578,WF1_TRAIN
